IATA_codes,latitude,longitude
IAD,38.9526323,-77.44774
IND,39.7168593,-86.2955952
ISP,44.8847554,-93.2222846
JAN,32.3122283,-90.0764217
JAX,30.49407129999999,-81.6879368
LAS,36.0839998,-115.1537389
LAX,33.9415889,-118.40853
LBB,33.6562701,-101.8209749
LIT,34.7307049,-92.2216531
MAF,31.9417386,-102.2047497
MCI,39.3006427,-94.7125937
MCO,28.4311577,-81.308083
MDW,41.78677589999999,-87.7521884
MHT,42.929687,-71.4352177
MSY,29.9922012,-90.25901119999999
OAK,37.7125689,-122.2197428
OKC,35.393056,-97.600556
OMA,22.3482153,56.4884534
ONT,34.0559781,-117.598057
ORF,36.8956837,-76.2000161
PBI,26.6857475,-80.0928165
PDX,45.4936797,-122.7034499
PHL,39.8776311,-75.2400861
PHX,33.4372686,-112.0077881
PIT,40.4957722,-80.24131129999999
PVD,41.7245271,-71.4304062
RDU,35.88007899999999,-78.7879963
RNO,39.50724,-119.775452
RSW,26.5337051,-81.7553083
SAN,32.7338006,-117.1933038
SAT,29.5311973,-98.4683484
SDF,38.175662,-85.7369231
SEA,47.4502499,-122.3088165
SFO,37.6213129,-122.3789554
SJC,37.3639472,-121.9289375
SLC,40.7899404,-111.9790706
SMF,38.6950854,-121.5900648
SNA,33.6761901,-117.8674759
STL,38.7503932,-90.3753107
TPA,27.8945048,-82.7135196
TUL,36.198778,-95.88386589999999
TUS,41.6405141,-71.0096853
ABQ,35.0433333,-106.6129085
ALB,42.7487124,-73.8054981
AMA,35.21848689999999,-101.7052103
AUS,30.1974292,-97.6663058
BDL,41.9388735,-72.68603139999999
BHM,33.5624269,-86.754126
BNA,36.126317,-86.67737129999999
BOI,43.5658231,-116.222316
BUF,42.9397059,-78.7295067
BUR,34.1983122,-118.3574036
BWI,39.1774042,-76.6683922
CLE,41.4124339,-81.84799249999999
CMH,39.9999399,-82.8871767
CRP,27.7744653,-97.5027118
DAL,32.8481029,-96.8512063
DEN,40.9531019,-85.38664109999999
DTW,42.2161722,-83.3553842
ELP,31.8053354,-106.3824345
FLL,26.0742344,-80.1506022
GEG,47.62174779999999,-117.534812
HOU,29.6541074,-95.2766145
HRL,26.227222,-97.655
ROC,43.1225229,-77.66657219999999
DAY,41.6500228,-88.1500825
ORD,41.9741625,-87.9073214
EWR,40.6895314,-74.1744624
SYR,43.1139301,-76.1101888
IAH,29.9896571,-95.3378963
LFT,30.2074725,-91.9919627
MKE,42.9475534,-87.89664599999999
CHS,32.8942676,-80.038159
LCH,30.1228442,-93.2219564
CLT,35.2144026,-80.9473146
BTR,30.5323599,-91.15146100000001
CRW,38.3747125,-81.5898016
FAT,36.7758493,-119.7181083
COS,38.801712,-104.7026039
MRY,36.588269,-121.8491091
LGB,33.8182528,-118.1447834
BFL,35.4380585,-119.0546234
EUG,44.1217811,-123.2159003
ICT,37.6508529,-97.42869879999999
MEM,35.0420679,-89.9791729
LGA,40.7769271,-73.8739659
DCA,38.851242,-77.04023149999999
BTV,44.4706939,-73.1516037
GRK,31.067222,-97.828889
BRO,39.6794344,-102.5907594
TYS,35.810833,-83.993889
DSM,41.5341333,-93.6587958
BPT,29.950833,-94.02069399999999
GPT,30.41338,-89.072958
GRR,42.8846633,-85.5248434
PWM,43.6464785,-70.30969739999999
MSP,44.8847554,-93.2222846
RIC,37.5065795,-77.3208112
CVG,39.0532746,-84.6630165
SAV,32.1294267,-81.2018521
SRQ,27.395444,-82.554389
GSO,36.1043671,-79.9351805
CHA,35.0374869,-85.19714909999999
XNA,36.2786587,-94.30429400000001
GSP,34.8959008,-82.2172338
LEX,33.9415889,-118.40853
MFE,26.1782759,-98.2399449
ABE,40.65294129999999,-75.4365016
MLU,32.5101466,-92.0436835
MOB,33.1119444,-112.2691666
LRD,27.5437988,-99.45750149999999
